County/State Name,Population,Median_Household_Income,People_Below_Poverty,Employed_Population,Unemployed_Population,Bachelors_Degree,Median_Home_Value,state,county,Poverty_Rate,Employment_Rate,Unemployment_Rate,Education_Rate
"Dale County, Alabama",49516,53955,9078,19110,1299,4370,129100,01,045,18.33346796994911,93.6351609584007,6.364839041599295,8.825430163987399
"Dallas County, Alabama",37536,36810,10748,15567,1699,2868,97400,01,047,28.633844842284738,90.15985173172709,9.840148268272907,7.640664961636828
"DeKalb County, Alabama",71946,51149,14405,31994,1359,4115,135500,01,049,20.021960915130794,95.92540401163315,4.074595988366863,5.719567453367803
"Elmore County, Alabama",88669,75553,8652,41141,1607,9976,213600,01,051,9.757637956895872,96.24075980162814,3.7592401983718533,11.250831745029267
"Escambia County, Alabama",36695,44447,7238,14357,1313,2080,122700,01,053,19.724758141436162,91.62093171665603,8.379068283343969,5.668347186265159
"Etowah County, Alabama",103208,53070,17401,46145,2911,7698,160600,01,055,16.860127121928535,94.06596542726679,5.934034572733203,7.45872412991241
"Fayette County, Alabama",16173,50733,2967,6839,648,1107,121200,01,057,18.3453904655908,91.34499799652731,8.655002003472687,6.844741235392321
"Franklin County, Alabama",31978,51493,5476,13927,501,2036,128000,01,059,17.12427293764463,96.52758525090103,3.472414749098974,6.366877228094314
"Geneva County, Alabama",26726,50951,5035,11617,571,1812,120200,01,061,18.839332485220382,95.31506399737447,4.684936002625533,6.779914689815161
"Greene County, Alabama",7589,31495,2697,2457,82,396,86400,01,063,35.53827908815391,96.7703820401733,3.2296179598267036,5.218078798260641
"Hale County, Alabama",14749,41325,3454,5765,339,1100,126300,01,065,23.418536849955927,94.44626474442988,5.553735255570118,7.458132754763034
"Henry County, Alabama",17450,60135,2695,7709,254,1805,147800,01,067,15.444126074498568,96.81024739419817,3.1897526058018335,10.343839541547279
"Houston County, Alabama",107628,57531,19198,48670,2220,10662,178000,01,069,17.83736574125692,95.63764983297308,4.362350167026921,9.90634407403278
"Jackson County, Alabama",52839,49454,8758,22255,1197,3583,145800,01,071,16.574878404209013,94.89595770083575,5.1040422991642505,6.780976172902591
"Jefferson County, Alabama",669744,64589,106524,325383,15638,96623,224900,01,073,15.90518168135885,95.41435864653496,4.585641353465036,14.426855634391647
"Lamar County, Alabama",13809,47447,2061,5579,357,678,112700,01,075,14.925048881164457,93.98584905660378,6.014150943396227,4.909841407777536
"Lauderdale County, Alabama",95037,59082,12584,45158,1776,10681,185800,01,077,13.241158706609005,96.2159628414369,3.784037158563089,11.23878068541726
"Lawrence County, Alabama",33182,60040,4506,14789,304,2421,150700,01,079,13.579651618347297,97.9858212416352,2.014178758364805,7.296124404797783
"Lee County, Alabama",177663,61123,32119,86157,3197,24876,238700,01,081,18.078609502259894,96.42209638068805,3.57790361931195,14.001789905607808
"Limestone County, Alabama",107577,83534,10561,51739,1915,14425,255100,01,083,9.817154224415999,96.43083460692587,3.569165393074142,13.409000065069671
"Lowndes County, Alabama",10008,35160,2913,3908,283,636,80600,01,085,29.106714628297365,93.24743497971845,6.752565020281557,6.3549160671462825
"Macon County, Alabama",18951,45951,3611,8370,894,1311,95700,01,087,19.054403461558756,90.34974093264249,9.650259067357512,6.917840747190122
"Madison County, Alabama",397135,83528,40401,206284,7818,73736,267800,01,089,10.173114935727146,96.34846942111703,3.6515305788829626,18.566986037493546
"Marengo County, Alabama",19027,44205,4241,7592,182,1562,103400,01,091,22.289378251957746,97.65886287625418,2.341137123745819,8.209386661060599
"Marion County, Alabama",29190,50714,4809,12112,746,1752,104300,01,093,16.47482014388489,94.19816456680665,5.801835433193343,6.002055498458376
"Marshall County, Alabama",98712,60946,15841,43420,1607,9466,183400,01,095,16.047694302617714,96.43103027072645,3.5689697292735465,9.589512926493232
"Mobile County, Alabama",413162,58119,65948,189058,10044,45444,176600,01,097,15.961777704629176,94.95534951934185,5.044650480658155,10.999075423199617
"Monroe County, Alabama",19580,40225,4371,7187,853,842,114900,01,099,22.32379979570991,89.3905472636816,10.609452736318408,4.300306435137896
"Montgomery County, Alabama",227197,58153,41981,104540,6265,30013,160100,01,101,18.477796801894392,94.34592301791436,5.654076982085646,13.210121612521291
"Morgan County, Alabama",123742,64858,16441,57237,2288,12989,193000,01,103,13.286515491910588,96.1562368752625,3.8437631247375053,10.49684019977049
"Perry County, Alabama",8231,34368,2296,2561,404,545,87700,01,105,27.894545012756648,86.3743676222597,13.625632377740304,6.6213096829060865
"Pickens County, Alabama",18843,47014,3878,7351,477,1245,123300,01,107,20.58058695536804,93.90648952478283,6.093510475217169,6.607228148384016
"Pike County, Alabama",32953,47961,7130,15308,592,3102,149000,01,109,21.636876763875822,96.27672955974843,3.723270440251572,9.413406973568415
"Randolph County, Alabama",22310,51551,3983,9413,263,1899,184000,01,111,17.85298072613178,97.28193468375362,2.718065316246383,8.511878081577768
"Russell County, Alabama",58858,50046,12966,24059,1599,4323,152300,01,113,22.029290835570357,93.7680255670746,6.231974432925404,7.34479594957355
"St. Clair County, Alabama",92903,78993,10129,44513,1981,8822,218500,01,115,10.902769555342669,95.73923517012948,4.260764829870521,9.495925858153127
"Shelby County, Alabama",226955,93543,15442,118845,3463,46948,298700,01,117,6.803991980789144,97.16862347516107,2.8313765248389315,20.686039082637528
"Sumter County, Alabama",12020,37981,2801,4654,400,753,84100,01,119,23.302828618968384,92.08547685001979,7.914523149980214,6.264559068219635
"Talladega County, Alabama",81170,56249,13665,34911,2814,5312,137900,01,121,16.835037575458912,92.54075546719682,7.45924453280318,6.544289762227424
"Tallapoosa County, Alabama",41070,57185,6128,17794,1334,3560,144800,01,123,14.920866812758703,93.02593057298202,6.974069427017985,8.668127587046506
"Tuscaloosa County, Alabama",234036,63947,36620,117414,6310,26261,233700,01,125,15.647165393358286,94.8999385729527,5.100061427047299,11.22092327676084
"Walker County, Alabama",64886,54509,11429,27210,1188,4328,131100,01,127,17.61396911506334,95.81660680329601,4.183393196703993,6.6701599728755046
"Washington County, Alabama",15270,60503,2793,6208,383,917,152800,01,129,18.290766208251476,94.18904566833561,5.810954331664391,6.005239030779306
"Wilcox County, Alabama",10347,42236,2943,3842,465,554,84200,01,131,28.443026964337488,89.20362201068028,10.796377989319712,5.354208949453948
"Winston County, Alabama",23637,48032,4506,10098,421,1411,110500,01,133,19.0633329102678,95.99771841429794,4.002281585702063,5.969454668528154
"Aleutians East Borough, Alaska",3423,72692,423,2415,92,336,144300,02,013,12.357581069237511,96.3302752293578,3.669724770642202,9.815950920245399
"Aleutians West Census Area, Alaska",5178,107344,459,3786,154,581,419100,02,016,8.864426419466975,96.09137055837563,3.908629441624366,11.220548474314407
"Anchorage Municipality, Alaska",289069,98152,26226,148752,6811,45019,375900,02,020,9.072574368057454,95.62170953247238,4.378290467527625,15.573790340714499
"Bethel Census Area, Alaska",18487,70616,4351,7641,1077,566,120600,02,050,23.53545734840699,87.64624913971095,12.353750860289058,3.0616108616865905
"Bristol Bay Borough, Alaska",878,100625,83,472,19,140,269800,02,060,9.453302961275627,96.13034623217924,3.8696537678207736,15.945330296127564
"Chugach Census Area, Alaska",6964,88565,326,3672,319,985,330900,02,063,4.681217690982194,92.00701578551741,7.992984214482586,14.144170017231476
"Copper River Census Area, Alaska",2626,75053,295,1144,87,319,246700,02,066,11.233815689261235,92.93257514216084,7.067424857839155,12.147753236862147
"Denali Borough, Alaska",2029,88935,131,1362,17,261,262000,02,068,6.45638245441104,98.76722262509064,1.2327773749093547,12.863479546574666
"Dillingham Census Area, Alaska",4780,74250,774,2102,226,374,163800,02,070,16.19246861924686,90.29209621993127,9.70790378006873,7.8242677824267775
"Fairbanks North Star Borough, Alaska",95555,84722,5669,42991,2118,12151,282500,02,090,5.93270891109832,95.30470637788468,4.6952936221153205,12.716236722306526
"Haines Borough, Alaska",2077,72607,126,892,42,325,318900,02,100,6.066441983630236,95.50321199143468,4.496788008565311,15.647568608570053
"Hoonah-Angoon Census Area, Alaska",2313,62500,291,1263,213,278,278300,02,105,12.5810635538262,85.56910569105692,14.43089430894309,12.019022913964548
"Juneau City and Borough, Alaska",31969,100513,2565,17178,692,5864,432500,02,110,8.02339766648941,96.12758813654169,3.8724118634583102,18.342769558009323
"Kenai Peninsula Borough, Alaska",59843,77722,6790,26892,1858,8110,297500,02,122,11.346356298982336,93.53739130434782,6.4626086956521736,13.552128068445764
"Ketchikan Gateway Borough, Alaska",13870,89155,1300,7134,248,1817,379000,02,130,9.372746935832732,96.64047683554593,3.3595231644540777,13.100216294160058
"Kodiak Island Borough, Alaska",12878,83716,966,6382,306,1727,382700,02,150,7.501164777139308,95.42464114832536,4.5753588516746415,13.410467463891909
"Kusilvak Census Area, Alaska",8277,48233,2555,2936,531,194,72700,02,158,30.868672224235834,84.68416498413615,15.31583501586386,2.343844388063308
"Lake and Peninsula Borough, Alaska",1007,64000,152,559,53,80,166100,02,164,15.09433962264151,91.33986928104575,8.660130718954248,7.944389275074479
"Matanuska-Susitna Borough, Alaska",110677,90625,11111,50338,3024,11510,319200,02,170,10.039122852986619,94.33304598778157,5.666954012218432,10.399631359722436
"Nome Census Area, Alaska",9925,76643,2026,4404,696,466,201000,02,180,20.413098236775816,86.3529411764706,13.647058823529413,4.69521410579345
"North Slope Borough, Alaska",10891,86313,897,6594,437,647,219600,02,185,8.236158295840603,93.78466789930309,6.215332100696914,5.940684969240658
"Northwest Arctic Borough, Alaska",7611,81298,1384,2987,488,345,162500,02,188,18.184207068716333,85.9568345323741,14.043165467625899,4.532912889239259
"Petersburg Borough, Alaska",3394,77026,188,1796,76,467,301300,02,195,5.53918680023571,95.94017094017094,4.05982905982906,13.759575721862111
"Prince of Wales-Hyder Census Area, Alaska",5730,59079,858,2869,233,493,221800,02,198,14.973821989528796,92.48871695680207,7.511283043197937,8.603839441535776
"Sitka City and Borough, Alaska",8393,101207,688,4585,327,1330,442100,02,220,8.197307279876087,93.3428338762215,6.657166123778502,15.846538782318598
"Skagway Municipality, Alaska",1308,78594,81,876,83,221,430000,02,230,6.192660550458716,91.3451511991658,8.654848800834202,16.896024464831804
"Southeast Fairbanks Census Area, Alaska",6936,74223,911,3031,209,624,262800,02,240,13.13437139561707,93.54938271604938,6.450617283950617,8.996539792387544
"Wrangell City and Borough, Alaska",2106,64545,227,881,31,218,289700,02,275,10.778727445394113,96.60087719298247,3.399122807017544,10.351377018043685
"Yakutat City and Borough, Alaska",506,80625,39,296,4,43,185000,02,282,7.707509881422925,98.66666666666667,1.3333333333333335,8.49802371541502
"Yukon-Koyukuk Census Area, Alaska",5271,52642,1086,2666,173,302,87800,02,290,20.603301081388732,93.90630503698485,6.093694963015146,5.729463099981028
"Apache County, Arizona",65680,40338,20070,20532,2057,3769,68500,04,001,30.557247259439706,90.89379786621808,9.10620213378193,5.738428745432399
"Cochise County, Arizona",125458,58970,18544,46480,3392,15057,207400,04,003,14.781042261155127,93.19858838626884,6.801411613731152,12.001626042181448
"Coconino County, Arizona",144643,69748,23485,73416,4867,20482,413200,04,005,16.236527173800322,93.78281363769912,6.2171863623008825,14.16038107616684
"Gila County, Arizona",53610,59089,9297,20645,1521,4991,247000,04,007,17.341913822048124,93.13813949291708,6.861860507082921,9.309830255549338
"Graham County, Arizona",38860,67326,6319,15106,955,2407,202700,04,009,16.260936695831187,94.05391943216486,5.9460805678351285,6.1940298507462686
"Greenlee County, Arizona",9452,75239,1016,4265,151,946,136300,04,011,10.749047820567077,96.58061594202898,3.4193840579710146,10.008463817181548
"La Paz County, Arizona",16605,49506,3001,6087,660,1165,117600,04,012,18.072869617585063,90.2178746109382,9.782125389061806,7.015959048479374
"Maricopa County, Arizona",4491987,85518,497877,2322355,106930,681592,414700,04,013,11.083669654431324,95.59829332499069,4.401706675009313,15.173507848531173
"Mohave County, Arizona",217420,55799,35787,81599,5662,15551,253200,04,015,16.45984730015638,93.51141976369742,6.488580236302586,7.152515867905436
"Navajo County, Arizona",107744,52752,25979,37845,3317,7503,186100,04,017,24.111783486783487,91.94159661824013,8.058403381759875,6.963728838728839
"Pima County, Arizona",1049947,67929,146560,497064,28264,146720,286900,04,019,13.95879982513403,94.61974233240946,5.380257667590533,13.97403868957195
"Pinal County, Arizona",449219,77588,46664,192635,11246,47556,312100,04,021,10.387806392872964,94.48403725702738,5.515962742972617,10.586373238887937
"Santa Cruz County, Arizona",48209,53614,9707,21086,2210,4808,216100,04,023,20.135244456429298,90.51339285714286,9.486607142857142,9.973241510921198
"Yavapai County, Arizona",241656,66106,29898,100945,4252,32658,392900,04,025,12.372132287218195,95.95805964048404,4.041940359515956,13.514251663521701
"Yuma County, Arizona",207685,60417,32921,82451,6700,14330,195700,04,027,15.851409586633602,92.48466085629998,7.5153391437000145,6.899872402917881
"Arkansas County, Arkansas",16773,60831,2425,7987,543,1143,129400,05,001,14.457759494425565,93.63423212192262,6.365767878077374,6.814523341083885
"Ashley County, Arkansas",18722,44481,4215,6976,423,1131,88800,05,003,22.513620339707295,94.28301121773212,5.716988782267874,6.041021258412563
"Baxter County, Arkansas",42150,48427,6029,15746,882,4317,165400,05,005,14.303677342823251,94.69569401010344,5.30430598989656,10.241992882562277
"Benton County, Arkansas",294541,89879,22138,151308,4763,46597,285100,05,007,7.516101323754587,96.94818383940643,3.051816160593576,15.820208392040497
"Boone County, Arkansas",37896,54195,5018,17115,673,2866,169300,05,009,13.241503061009077,96.216550483472,3.7834495165279964,7.562803462106818
"Bradley County, Arkansas",10354,39565,2057,3953,175,723,97000,05,011,19.866718176550123,95.76065891472868,4.239341085271318,6.982808576395596
"Calhoun County, Arkansas",4717,63654,601,2004,144,374,97300,05,013,12.74114903540386,93.29608938547486,6.70391061452514,7.92876828492686
"Carroll County, Arkansas",28526,55187,4586,12099,477,2928,186300,05,015,16.076561733155717,96.20706106870229,3.7929389312977095,10.264320269228072
"Chicot County, Arkansas",9997,39683,2264,3704,314,844,90500,05,017,22.646794038211464,92.18516674962667,7.8148332503733196,8.44253275982795
"Clark County, Arkansas",21378,50985,3810,10097,447,2035,147100,05,019,17.82206006174572,95.76062215477997,4.23937784522003,9.519131817756572
"Clay County, Arkansas",14399,48500,2449,6666,418,962,88100,05,021,17.008125564275296,94.09937888198758,5.900621118012422,6.681019515244115
"Cleburne County, Arkansas",25048,55979,3415,9893,644,2334,174600,05,023,13.633823059725328,93.88820347347442,6.111796526525577,9.318109230277868
"Cleveland County, Arkansas",7491,50509,1153,2822,65,587,123400,05,025,15.39180349753037,97.7485278836162,2.2514721163837894,7.836069950607396
"Columbia County, Arkansas",22527,47363,4642,9712,300,1905,141700,05,027,20.606383450969947,97.00359568517779,2.9964043148222133,8.456518844053802
"Conway County, Arkansas",20872,51212,4261,9228,622,1799,137000,05,029,20.414909927175163,93.68527918781726,6.314720812182741,8.619202759678037
"Craighead County, Arkansas",112097,57615,20670,54575,3267,11967,198700,05,031,18.439387316342096,94.35185505342139,5.64814494657861,10.675575617545519
"Crawford County, Arkansas",60792,60362,9998,26311,1369,5652,170000,05,033,16.446242926700883,95.05419075144509,4.945809248554913,9.29727595736281
"Crittenden County, Arkansas",47609,54271,9684,22188,2088,3666,155100,05,035,20.340691885987944,91.39891250617895,8.601087493821058,7.700224747421706
"Cross County, Arkansas",16681,47012,3314,7721,656,1153,104000,05,037,19.86691445356993,92.16903426047512,7.830965739524889,6.9120556321563456
"Dallas County, Arkansas",6351,44694,675,2785,237,378,98200,05,039,10.628247520075579,92.15751158173396,7.842488418266049,5.951818611242324
"Desha County, Arkansas",11041,36064,3164,4158,178,567,89100,05,041,28.656824562992483,95.89483394833948,4.105166051660516,5.135404401775202
"Drew County, Arkansas",17143,41071,3720,6923,355,1721,127800,05,043,21.699819168173597,95.12228634240176,4.877713657598242,10.039083007641603
"Faulkner County, Arkansas",126001,65071,18099,61820,2025,15950,211300,05,045,14.364171712922913,96.82825593233613,3.171744067663874,12.658629693415133
"Franklin County, Arkansas",17220,51919,3197,7240,319,1080,118800,05,047,18.565621370499418,95.77986506151608,4.220134938483926,6.2717770034843205
"Fulton County, Arkansas",12239,38941,1782,4425,170,839,107200,05,049,14.560013072963477,96.30032644178455,3.6996735582154514,6.855135223465969
"Garland County, Arkansas",100062,55409,16237,45246,2656,12092,176400,05,051,16.226939297635464,94.45534633209469,5.5446536679053064,12.084507605284724
"Grant County, Arkansas",18111,72512,2205,8413,337,2010,154500,05,053,12.174921318535697,96.14857142857143,3.8514285714285714,11.098227596488321
"Greene County, Arkansas",46182,56793,7657,21557,1609,3244,162200,05,055,16.58005283443766,93.05447638780973,6.945523612190279,7.024381793772465
"Hempstead County, Arkansas",19778,47654,3702,7886,305,1200,100200,05,057,18.717767216098697,96.27640092784763,3.7235990721523624,6.0673475578926075
"Hot Spring County, Arkansas",33142,52644,5264,13632,494,2407,127900,05,059,15.883169392311869,96.50290244938411,3.497097550615886,7.262687828133487
"Howard County, Arkansas",12701,44492,2477,5609,418,984,135400,05,061,19.50240138571766,93.06454289032686,6.935457109673138,7.747421462876939
"Independence County, Arkansas",38120,56009,7287,17322,799,2827,120500,05,063,19.11594963273872,95.5907510623034,4.409248937696595,7.416054564533053
"Izard County, Arkansas",13866,47728,2692,4694,330,1350,122100,05,065,19.414394922832827,93.43152866242038,6.568471337579618,9.736045002163566
"Jackson County, Arkansas",16775,41215,3044,6518,629,1033,87300,05,067,18.146050670640832,91.19910451937876,8.80089548062124,6.157973174366617
"Jefferson County, Arkansas",65780,48552,12300,27435,2051,6459,106000,05,069,18.69869261173609,93.04415654887065,6.95584345112935,9.819093949528732
"Johnson County, Arkansas",25932,44808,4874,10799,525,2214,124800,05,071,18.795310812895263,95.36382903567645,4.6361709643235605,8.53771402128644
"Lafayette County, Arkansas",6211,37237,1658,2324,205,301,74600,05,073,26.694574142650136,91.8940292605773,8.105970739422697,4.846240540975688
"Lawrence County, Arkansas",16265,44164,2854,7004,444,1040,91100,05,075,17.54687980325853,94.03866809881848,5.961331901181525,6.394097755917614
"Lee County, Arkansas",8511,36860,1926,2801,495,326,77900,05,077,22.6295382446246,84.98179611650485,15.018203883495145,3.8303372106685467
"Lincoln County, Arkansas",12966,51667,1512,3836,90,687,106100,05,079,11.661267931513189,97.70759042282221,2.292409577177789,5.298472929199445
"Little River County, Arkansas",11959,52241,1927,5538,501,1028,113400,05,081,16.11338740697383,91.70392449080974,8.296075509190263,8.596036457897819
"Logan County, Arkansas",21240,54237,3009,9644,571,1635,126900,05,083,14.166666666666666,94.41018110621636,5.589818893783652,7.69774011299435
"Lonoke County, Arkansas",74747,71449,8232,35326,1575,7099,184100,05,085,11.013151029472755,95.73182298582694,4.268177014173058,9.497371131951784
"Madison County, Arkansas",17032,53888,2529,7939,342,1036,157800,05,087,14.84852043212776,95.87006400193214,4.129935998067866,6.082667919210897
"Marion County, Arkansas",17076,46953,3008,6442,416,1180,158400,05,089,17.615366596392597,93.93409157188685,6.065908428113152,6.910283438744437
"Miller County, Arkansas",42588,49983,8694,17819,1284,2704,148200,05,091,20.414201183431953,93.2785426372821,6.7214573627178975,6.349206349206349
"Mississippi County, Arkansas",39749,53428,8150,18690,1563,2442,115800,05,093,20.503660469445773,92.28262479632647,7.717375203673529,6.143550781151727
"Monroe County, Arkansas",6681,43955,1452,2698,254,570,82200,05,095,21.73327346205658,91.39566395663957,8.604336043360433,8.531656937584193
"Montgomery County, Arkansas",8571,49015,1762,3361,234,824,136000,05,097,20.55769455139424,93.49095966620305,6.509040333796941,9.613814024034536
"Nevada County, Arkansas",8228,41761,2298,3331,278,508,85700,05,099,27.929022848808945,92.29703518980327,7.70296481019673,6.174039863879436
"Newton County, Arkansas",7175,47395,945,3067,121,487,178800,05,101,13.170731707317074,96.20451693851945,3.795483061480552,6.7874564459930316
"Ouachita County, Arkansas",22317,49838,3913,8983,412,1460,99600,05,103,17.533718689788053,95.61468866418308,4.385311335816923,6.542097952233723
"Perry County, Arkansas",10073,60078,1558,4118,186,882,129300,05,105,15.467090241238957,95.67843866171005,4.321561338289963,8.756080611535788
"Phillips County, Arkansas",15910,38874,4534,6070,962,1007,76200,05,107,28.4978001257071,86.31968145620023,13.680318543799771,6.329352608422376
"Pike County, Arkansas",10182,51000,1871,4271,110,965,115400,05,109,18.375564722058535,97.48915772654645,2.5108422734535494,9.477509330190532
"Poinsett County, Arkansas",22740,47188,4466,9896,522,1309,101200,05,111,19.63940193491645,94.98944135150701,5.010558648492993,5.756376429199648
"Polk County, Arkansas",19348,49252,3611,8604,722,1604,122600,05,113,18.66342774446971,92.25820287368647,7.741797126313532,8.290262559437668
"Pope County, Arkansas",63830,54606,10633,28952,1367,6708,161700,05,115,16.65831113896287,95.49127609749662,4.508723902503381,10.509164969450103
"Prairie County, Arkansas",8162,51094,739,3715,151,662,87500,05,117,9.054153393776035,96.09415416451112,3.9058458354888774,8.11075716736094
"Pulaski County, Arkansas",398949,60385,63472,194750,9611,59781,199600,05,119,15.90980300740195,95.29704787116916,4.702952128830844,14.98462209455344
"Randolph County, Arkansas",18733,52838,3879,7831,494,1093,118100,05,121,20.706774141888644,94.06606606606607,5.933933933933934,5.8346233918753
"St. Francis County, Arkansas",22740,41784,5503,8577,635,1179,87700,05,123,24.199648197009672,93.10681719496309,6.893182805036909,5.1846965699208445
"Saline County, Arkansas",125724,76534,11244,62382,2393,16852,211700,05,125,8.943399828195094,96.30567348514087,3.6943265148591276,13.403964239126974
"Scott County, Arkansas",9839,45955,1678,4036,249,603,110900,05,127,17.054578717349326,94.18903150525088,5.810968494749124,6.128671612968797
"Searcy County, Arkansas",7861,41978,1896,3014,159,565,108100,05,129,24.119068820760717,94.98896942956193,5.011030570438072,7.187380740363822
"Sebastian County, Arkansas",128448,56450,20559,61296,3564,12795,166000,05,131,16.00569880418535,94.50508788159112,5.49491211840888,9.961229446935725
"Sevier County, Arkansas",15797,51641,3049,6901,336,680,111700,05,133,19.301133126543014,95.3571922067155,4.64280779328451,4.304614800278534
"Sharp County, Arkansas",17597,42950,2997,6524,425,1070,94600,05,135,17.03131215548105,93.88401208807022,6.115987911929774,6.08058191737228
"Stone County, Arkansas",12474,38531,2665,4254,188,902,149400,05,137,21.364438031104697,95.76767221972085,4.232327780279153,7.231040564373897
"Union County, Arkansas",38368,50221,7327,16970,741,3278,114700,05,139,19.09664303586322,95.81615944893004,4.183840551069957,8.543577981651376
"Van Buren County, Arkansas",15936,47266,3069,5842,252,1245,122300,05,141,19.25828313253012,95.86478503446013,4.135214965539875,7.8125
"Washington County, Arkansas",251863,66426,35887,129471,5473,31300,266000,05,143,14.24861928905794,95.94424353806023,4.055756461939768,12.427391081659474
"White County, Arkansas",77395,53435,12190,34263,1748,5722,159600,05,145,15.75037147102526,95.14592763322318,4.854072366776818,7.393242457523096
"Woodruff County, Arkansas",6157,49982,1361,2758,173,359,96800,05,147,22.104921227870715,94.09757761856021,5.902422381439782,5.830761734611012
"Yell County, Arkansas",20195,58870,2621,9144,316,1399,131300,05,149,12.97846001485516,96.65961945031712,3.3403805496828753,6.927457291408764
"Alameda County, California",1651949,126240,149752,908826,47017,341463,1057400,06,001,9.065170898133054,95.08109595404267,4.918904045957338,20.67031125052892
"Alpine County, California",1695,110781,209,806,29,264,466100,06,003,12.330383480825958,96.52694610778443,3.473053892215569,15.575221238938052
"Amador County, California",41029,81526,2931,17083,1043,5027,422800,06,005,7.143727607302153,94.24583471256757,5.754165287432418,12.25230934217261
"Butte County, California",209470,68574,37531,101141,7192,28185,408700,06,007,17.91712417052561,93.36121034218566,6.638789657814331,13.455387406311168
"Calaveras County, California",45995,79877,6083,19090,1117,5242,441800,06,009,13.225350581584955,94.4722125995942,5.5277874004058,11.396890966409392
"Colusa County, California",21895,75149,2332,10360,869,1579,375100,06,011,10.650833523635534,92.26110962685902,7.738890373140975,7.211692167161453
"Contra Costa County, California",1161458,125727,95048,608587,35999,221951,830800,06,013,8.183507281365317,94.4151750115578,5.584824988442194,19.109687995605523
"Del Norte County, California",27293,66780,2900,11094,712,2540,319600,06,015,10.625435093247352,93.96916821954939,6.030831780450619,9.30641556443044
"El Dorado County, California",192299,106190,15754,92417,4466,36513,640500,06,017,8.192450298753503,95.39031615453692,4.609683845463084,18.987618240344464
"Fresno County, California",1012152,71434,185717,465169,39771,98932,362600,06,019,18.348726278266504,92.12361864776013,7.87638135223987,9.774421233174465
"Glenn County, California",28623,70487,3511,13934,1028,2314,338400,06,021,12.266359221605002,93.12926079401149,6.870739205988505,8.084407644202216
"Humboldt County, California",135418,61135,25064,65509,5702,19521,418800,06,023,18.508617761302045,91.99281009956327,8.00718990043673,14.415365756398707
