countystate_name,population,median_household_income,people_below_poverty,employed_population,unemployed_population,bachelors_degree,median_home_value,state,county,poverty_rate,employment_rate,unemployment_rate,education_rate
"Geneva County, Alabama",26726.0,50951.0,5035.0,11617.0,571.0,1812.0,120200.0,1,61,18.839332485220382,95.31506399737447,4.684936002625533,6.779914689815161
"Greene County, Alabama",7589.0,31495.0,2697.0,2457.0,82.0,396.0,86400.0,1,63,35.53827908815391,96.7703820401733,3.2296179598267036,5.218078798260641
"Hale County, Alabama",14749.0,41325.0,3454.0,5765.0,339.0,1100.0,126300.0,1,65,23.418536849955927,94.44626474442988,5.553735255570118,7.458132754763034
"Henry County, Alabama",17450.0,60135.0,2695.0,7709.0,254.0,1805.0,147800.0,1,67,15.444126074498568,96.81024739419817,3.1897526058018335,10.343839541547279
"Houston County, Alabama",107628.0,57531.0,19198.0,48670.0,2220.0,10662.0,178000.0,1,69,17.83736574125692,95.63764983297308,4.362350167026921,9.90634407403278
"Jackson County, Alabama",52839.0,49454.0,8758.0,22255.0,1197.0,3583.0,145800.0,1,71,16.574878404209013,94.89595770083575,5.1040422991642505,6.780976172902591
"Jefferson County, Alabama",669744.0,64589.0,106524.0,325383.0,15638.0,96623.0,224900.0,1,73,15.90518168135885,95.41435864653496,4.585641353465036,14.426855634391647
"Lamar County, Alabama",13809.0,47447.0,2061.0,5579.0,357.0,678.0,112700.0,1,75,14.925048881164457,93.98584905660378,6.014150943396227,4.909841407777536
"Lauderdale County, Alabama",95037.0,59082.0,12584.0,45158.0,1776.0,10681.0,185800.0,1,77,13.241158706609005,96.2159628414369,3.784037158563089,11.23878068541726
"Lawrence County, Alabama",33182.0,60040.0,4506.0,14789.0,304.0,2421.0,150700.0,1,79,13.579651618347297,97.9858212416352,2.014178758364805,7.296124404797783
"Lee County, Alabama",177663.0,61123.0,32119.0,86157.0,3197.0,24876.0,238700.0,1,81,18.078609502259894,96.42209638068805,3.57790361931195,14.001789905607808
"Limestone County, Alabama",107577.0,83534.0,10561.0,51739.0,1915.0,14425.0,255100.0,1,83,9.817154224415999,96.43083460692587,3.569165393074142,13.409000065069671
"Lowndes County, Alabama",10008.0,35160.0,2913.0,3908.0,283.0,636.0,80600.0,1,85,29.106714628297365,93.24743497971845,6.752565020281557,6.3549160671462825
"Macon County, Alabama",18951.0,45951.0,3611.0,8370.0,894.0,1311.0,95700.0,1,87,19.054403461558756,90.34974093264249,9.650259067357512,6.917840747190122
"Madison County, Alabama",397135.0,83528.0,40401.0,206284.0,7818.0,73736.0,267800.0,1,89,10.173114935727146,96.34846942111703,3.6515305788829626,18.566986037493546
"Marengo County, Alabama",19027.0,44205.0,4241.0,7592.0,182.0,1562.0,103400.0,1,91,22.289378251957746,97.65886287625418,2.341137123745819,8.209386661060599
"Marion County, Alabama",29190.0,50714.0,4809.0,12112.0,746.0,1752.0,104300.0,1,93,16.47482014388489,94.19816456680665,5.801835433193343,6.002055498458376
"Marshall County, Alabama",98712.0,60946.0,15841.0,43420.0,1607.0,9466.0,183400.0,1,95,16.047694302617714,96.43103027072645,3.5689697292735465,9.589512926493232
"Mobile County, Alabama",413162.0,58119.0,65948.0,189058.0,10044.0,45444.0,176600.0,1,97,15.961777704629176,94.95534951934185,5.044650480658155,10.999075423199617
"Monroe County, Alabama",19580.0,40225.0,4371.0,7187.0,853.0,842.0,114900.0,1,99,22.32379979570991,89.3905472636816,10.609452736318408,4.300306435137896
"Montgomery County, Alabama",227197.0,58153.0,41981.0,104540.0,6265.0,30013.0,160100.0,1,101,18.477796801894392,94.34592301791436,5.654076982085646,13.210121612521291
"Morgan County, Alabama",123742.0,64858.0,16441.0,57237.0,2288.0,12989.0,193000.0,1,103,13.286515491910588,96.1562368752625,3.8437631247375053,10.49684019977049
"Perry County, Alabama",8231.0,34368.0,2296.0,2561.0,404.0,545.0,87700.0,1,105,27.894545012756648,86.3743676222597,13.625632377740304,6.6213096829060865
"Pickens County, Alabama",18843.0,47014.0,3878.0,7351.0,477.0,1245.0,123300.0,1,107,20.58058695536804,93.90648952478283,6.093510475217169,6.607228148384016
"Pike County, Alabama",32953.0,47961.0,7130.0,15308.0,592.0,3102.0,149000.0,1,109,21.636876763875822,96.27672955974843,3.723270440251572,9.413406973568415
"Randolph County, Alabama",22310.0,51551.0,3983.0,9413.0,263.0,1899.0,184000.0,1,111,17.85298072613178,97.28193468375362,2.718065316246383,8.511878081577768
"Russell County, Alabama",58858.0,50046.0,12966.0,24059.0,1599.0,4323.0,152300.0,1,113,22.029290835570357,93.7680255670746,6.231974432925404,7.34479594957355
"St. Clair County, Alabama",92903.0,78993.0,10129.0,44513.0,1981.0,8822.0,218500.0,1,115,10.902769555342669,95.73923517012948,4.260764829870521,9.495925858153127
"Shelby County, Alabama",226955.0,93543.0,15442.0,118845.0,3463.0,46948.0,298700.0,1,117,6.803991980789144,97.16862347516107,2.8313765248389315,20.686039082637528
"Sumter County, Alabama",12020.0,37981.0,2801.0,4654.0,400.0,753.0,84100.0,1,119,23.302828618968384,92.08547685001979,7.914523149980214,6.264559068219635
"Talladega County, Alabama",81170.0,56249.0,13665.0,34911.0,2814.0,5312.0,137900.0,1,121,16.835037575458912,92.54075546719682,7.45924453280318,6.544289762227424
"Tallapoosa County, Alabama",41070.0,57185.0,6128.0,17794.0,1334.0,3560.0,144800.0,1,123,14.920866812758703,93.02593057298202,6.974069427017985,8.668127587046506
"Tuscaloosa County, Alabama",234036.0,63947.0,36620.0,117414.0,6310.0,26261.0,233700.0,1,125,15.647165393358286,94.8999385729527,5.100061427047299,11.22092327676084
"Walker County, Alabama",64886.0,54509.0,11429.0,27210.0,1188.0,4328.0,131100.0,1,127,17.61396911506334,95.81660680329601,4.183393196703993,6.6701599728755046
"Washington County, Alabama",15270.0,60503.0,2793.0,6208.0,383.0,917.0,152800.0,1,129,18.290766208251476,94.18904566833561,5.810954331664391,6.005239030779306
"Wilcox County, Alabama",10347.0,42236.0,2943.0,3842.0,465.0,554.0,84200.0,1,131,28.443026964337488,89.20362201068028,10.796377989319712,5.354208949453948
"Winston County, Alabama",23637.0,48032.0,4506.0,10098.0,421.0,1411.0,110500.0,1,133,19.0633329102678,95.99771841429794,4.002281585702063,5.969454668528154
"Aleutians East Borough, Alaska",3423.0,72692.0,423.0,2415.0,92.0,336.0,144300.0,2,13,12.357581069237511,96.3302752293578,3.669724770642202,9.815950920245399
"Aleutians West Census Area, Alaska",5178.0,107344.0,459.0,3786.0,154.0,581.0,419100.0,2,16,8.864426419466975,96.09137055837563,3.908629441624366,11.220548474314407
"Anchorage Municipality, Alaska",289069.0,98152.0,26226.0,148752.0,6811.0,45019.0,375900.0,2,20,9.072574368057454,95.62170953247238,4.378290467527625,15.573790340714499
"Bethel Census Area, Alaska",18487.0,70616.0,4351.0,7641.0,1077.0,566.0,120600.0,2,50,23.53545734840699,87.64624913971095,12.353750860289058,3.0616108616865905
"Bristol Bay Borough, Alaska",878.0,100625.0,83.0,472.0,19.0,140.0,269800.0,2,60,9.453302961275627,96.13034623217924,3.8696537678207736,15.945330296127564
"Chugach Census Area, Alaska",6964.0,88565.0,326.0,3672.0,319.0,985.0,330900.0,2,63,4.681217690982194,92.00701578551741,7.992984214482586,14.144170017231476
"Copper River Census Area, Alaska",2626.0,75053.0,295.0,1144.0,87.0,319.0,246700.0,2,66,11.233815689261235,92.93257514216084,7.067424857839155,12.147753236862147
"Denali Borough, Alaska",2029.0,88935.0,131.0,1362.0,17.0,261.0,262000.0,2,68,6.45638245441104,98.76722262509064,1.2327773749093547,12.863479546574666
"Dillingham Census Area, Alaska",4780.0,74250.0,774.0,2102.0,226.0,374.0,163800.0,2,70,16.19246861924686,90.29209621993127,9.70790378006873,7.8242677824267775
"Fairbanks North Star Borough, Alaska",95555.0,84722.0,5669.0,42991.0,2118.0,12151.0,282500.0,2,90,5.93270891109832,95.30470637788468,4.6952936221153205,12.716236722306526
"Haines Borough, Alaska",2077.0,72607.0,126.0,892.0,42.0,325.0,318900.0,2,100,6.066441983630236,95.50321199143468,4.496788008565311,15.647568608570053
"Hoonah-Angoon Census Area, Alaska",2313.0,62500.0,291.0,1263.0,213.0,278.0,278300.0,2,105,12.5810635538262,85.56910569105692,14.43089430894309,12.019022913964548
"Juneau City and Borough, Alaska",31969.0,100513.0,2565.0,17178.0,692.0,5864.0,432500.0,2,110,8.02339766648941,96.12758813654169,3.8724118634583102,18.342769558009323
"Kenai Peninsula Borough, Alaska",59843.0,77722.0,6790.0,26892.0,1858.0,8110.0,297500.0,2,122,11.346356298982336,93.53739130434782,6.4626086956521736,13.552128068445764
"Ketchikan Gateway Borough, Alaska",13870.0,89155.0,1300.0,7134.0,248.0,1817.0,379000.0,2,130,9.372746935832732,96.64047683554593,3.3595231644540777,13.100216294160058
"Kodiak Island Borough, Alaska",12878.0,83716.0,966.0,6382.0,306.0,1727.0,382700.0,2,150,7.501164777139308,95.42464114832536,4.5753588516746415,13.410467463891909
"Kusilvak Census Area, Alaska",8277.0,48233.0,2555.0,2936.0,531.0,194.0,72700.0,2,158,30.868672224235834,84.68416498413615,15.31583501586386,2.343844388063308
"Lake and Peninsula Borough, Alaska",1007.0,64000.0,152.0,559.0,53.0,80.0,166100.0,2,164,15.09433962264151,91.33986928104575,8.660130718954248,7.944389275074479
"Matanuska-Susitna Borough, Alaska",110677.0,90625.0,11111.0,50338.0,3024.0,11510.0,319200.0,2,170,10.039122852986619,94.33304598778157,5.666954012218432,10.399631359722436
"Nome Census Area, Alaska",9925.0,76643.0,2026.0,4404.0,696.0,466.0,201000.0,2,180,20.413098236775816,86.3529411764706,13.647058823529413,4.69521410579345
"North Slope Borough, Alaska",10891.0,86313.0,897.0,6594.0,437.0,647.0,219600.0,2,185,8.236158295840603,93.78466789930309,6.215332100696914,5.940684969240658
"Northwest Arctic Borough, Alaska",7611.0,81298.0,1384.0,2987.0,488.0,345.0,162500.0,2,188,18.184207068716333,85.9568345323741,14.043165467625899,4.532912889239259
"Petersburg Borough, Alaska",3394.0,77026.0,188.0,1796.0,76.0,467.0,301300.0,2,195,5.53918680023571,95.94017094017094,4.05982905982906,13.759575721862111
"Prince of Wales-Hyder Census Area, Alaska",5730.0,59079.0,858.0,2869.0,233.0,493.0,221800.0,2,198,14.973821989528796,92.48871695680207,7.511283043197937,8.603839441535776
"Sitka City and Borough, Alaska",8393.0,101207.0,688.0,4585.0,327.0,1330.0,442100.0,2,220,8.197307279876087,93.3428338762215,6.657166123778502,15.846538782318598
"Skagway Municipality, Alaska",1308.0,78594.0,81.0,876.0,83.0,221.0,430000.0,2,230,6.192660550458716,91.3451511991658,8.654848800834202,16.896024464831804
"Southeast Fairbanks Census Area, Alaska",6936.0,74223.0,911.0,3031.0,209.0,624.0,262800.0,2,240,13.13437139561707,93.54938271604938,6.450617283950617,8.996539792387544
"Wrangell City and Borough, Alaska",2106.0,64545.0,227.0,881.0,31.0,218.0,289700.0,2,275,10.778727445394113,96.60087719298247,3.399122807017544,10.351377018043685
"Yakutat City and Borough, Alaska",506.0,80625.0,39.0,296.0,4.0,43.0,185000.0,2,282,7.707509881422925,98.66666666666667,1.3333333333333335,8.49802371541502
"Yukon-Koyukuk Census Area, Alaska",5271.0,52642.0,1086.0,2666.0,173.0,302.0,87800.0,2,290,20.603301081388732,93.90630503698485,6.093694963015146,5.729463099981028
"Apache County, Arizona",65680.0,40338.0,20070.0,20532.0,2057.0,3769.0,68500.0,4,1,30.557247259439706,90.89379786621808,9.10620213378193,5.738428745432399
"Cochise County, Arizona",125458.0,58970.0,18544.0,46480.0,3392.0,15057.0,207400.0,4,3,14.781042261155127,93.19858838626884,6.801411613731152,12.001626042181448
"Coconino County, Arizona",144643.0,69748.0,23485.0,73416.0,4867.0,20482.0,413200.0,4,5,16.236527173800322,93.78281363769912,6.2171863623008825,14.16038107616684
"Gila County, Arizona",53610.0,59089.0,9297.0,20645.0,1521.0,4991.0,247000.0,4,7,17.341913822048124,93.13813949291708,6.861860507082921,9.309830255549338
"Graham County, Arizona",38860.0,67326.0,6319.0,15106.0,955.0,2407.0,202700.0,4,9,16.260936695831187,94.05391943216486,5.9460805678351285,6.1940298507462686
"Greenlee County, Arizona",9452.0,75239.0,1016.0,4265.0,151.0,946.0,136300.0,4,11,10.749047820567077,96.58061594202898,3.4193840579710146,10.008463817181548
"La Paz County, Arizona",16605.0,49506.0,3001.0,6087.0,660.0,1165.0,117600.0,4,12,18.072869617585063,90.2178746109382,9.782125389061806,7.015959048479374
"Maricopa County, Arizona",4491987.0,85518.0,497877.0,2322355.0,106930.0,681592.0,414700.0,4,13,11.083669654431324,95.59829332499069,4.401706675009313,15.173507848531173
"Mohave County, Arizona",217420.0,55799.0,35787.0,81599.0,5662.0,15551.0,253200.0,4,15,16.45984730015638,93.51141976369742,6.488580236302586,7.152515867905436
"Navajo County, Arizona",107744.0,52752.0,25979.0,37845.0,3317.0,7503.0,186100.0,4,17,24.111783486783487,91.94159661824013,8.058403381759875,6.963728838728839
"Pima County, Arizona",1049947.0,67929.0,146560.0,497064.0,28264.0,146720.0,286900.0,4,19,13.95879982513403,94.61974233240946,5.380257667590533,13.97403868957195
"Pinal County, Arizona",449219.0,77588.0,46664.0,192635.0,11246.0,47556.0,312100.0,4,21,10.387806392872964,94.48403725702738,5.515962742972617,10.586373238887937
"Santa Cruz County, Arizona",48209.0,53614.0,9707.0,21086.0,2210.0,4808.0,216100.0,4,23,20.135244456429298,90.51339285714286,9.486607142857142,9.973241510921198
"Yavapai County, Arizona",241656.0,66106.0,29898.0,100945.0,4252.0,32658.0,392900.0,4,25,12.372132287218195,95.95805964048404,4.041940359515956,13.514251663521701
"Yuma County, Arizona",207685.0,60417.0,32921.0,82451.0,6700.0,14330.0,195700.0,4,27,15.851409586633602,92.48466085629998,7.5153391437000145,6.899872402917881
"Arkansas County, Arkansas",16773.0,60831.0,2425.0,7987.0,543.0,1143.0,129400.0,5,1,14.457759494425565,93.63423212192262,6.365767878077374,6.814523341083885
"Ashley County, Arkansas",18722.0,44481.0,4215.0,6976.0,423.0,1131.0,88800.0,5,3,22.513620339707295,94.28301121773212,5.716988782267874,6.041021258412563
"Baxter County, Arkansas",42150.0,48427.0,6029.0,15746.0,882.0,4317.0,165400.0,5,5,14.303677342823251,94.69569401010344,5.30430598989656,10.241992882562277
"Benton County, Arkansas",294541.0,89879.0,22138.0,151308.0,4763.0,46597.0,285100.0,5,7,7.516101323754587,96.94818383940643,3.051816160593576,15.820208392040497
"Boone County, Arkansas",37896.0,54195.0,5018.0,17115.0,673.0,2866.0,169300.0,5,9,13.241503061009077,96.216550483472,3.7834495165279964,7.562803462106818
"Bradley County, Arkansas",10354.0,39565.0,2057.0,3953.0,175.0,723.0,97000.0,5,11,19.866718176550123,95.76065891472868,4.239341085271318,6.982808576395596
"Calhoun County, Arkansas",4717.0,63654.0,601.0,2004.0,144.0,374.0,97300.0,5,13,12.74114903540386,93.29608938547486,6.70391061452514,7.92876828492686
"Carroll County, Arkansas",28526.0,55187.0,4586.0,12099.0,477.0,2928.0,186300.0,5,15,16.076561733155717,96.20706106870229,3.7929389312977095,10.264320269228072
"Chicot County, Arkansas",9997.0,39683.0,2264.0,3704.0,314.0,844.0,90500.0,5,17,22.646794038211464,92.18516674962667,7.8148332503733196,8.44253275982795
"Clark County, Arkansas",21378.0,50985.0,3810.0,10097.0,447.0,2035.0,147100.0,5,19,17.82206006174572,95.76062215477997,4.23937784522003,9.519131817756572
"Clay County, Arkansas",14399.0,48500.0,2449.0,6666.0,418.0,962.0,88100.0,5,21,17.008125564275296,94.09937888198758,5.900621118012422,6.681019515244115
"Cleburne County, Arkansas",25048.0,55979.0,3415.0,9893.0,644.0,2334.0,174600.0,5,23,13.633823059725328,93.88820347347442,6.111796526525577,9.318109230277868
"Cleveland County, Arkansas",7491.0,50509.0,1153.0,2822.0,65.0,587.0,123400.0,5,25,15.39180349753037,97.7485278836162,2.2514721163837894,7.836069950607396
"Columbia County, Arkansas",22527.0,47363.0,4642.0,9712.0,300.0,1905.0,141700.0,5,27,20.606383450969947,97.00359568517779,2.9964043148222133,8.456518844053802
"Conway County, Arkansas",20872.0,51212.0,4261.0,9228.0,622.0,1799.0,137000.0,5,29,20.414909927175163,93.68527918781726,6.314720812182741,8.619202759678037
"Craighead County, Arkansas",112097.0,57615.0,20670.0,54575.0,3267.0,11967.0,198700.0,5,31,18.439387316342096,94.35185505342139,5.64814494657861,10.675575617545519
"Crawford County, Arkansas",60792.0,60362.0,9998.0,26311.0,1369.0,5652.0,170000.0,5,33,16.446242926700883,95.05419075144509,4.945809248554913,9.29727595736281
"Crittenden County, Arkansas",47609.0,54271.0,9684.0,22188.0,2088.0,3666.0,155100.0,5,35,20.340691885987944,91.39891250617895,8.601087493821058,7.700224747421706
"Cross County, Arkansas",16681.0,47012.0,3314.0,7721.0,656.0,1153.0,104000.0,5,37,19.86691445356993,92.16903426047512,7.830965739524889,6.9120556321563456
"Dallas County, Arkansas",6351.0,44694.0,675.0,2785.0,237.0,378.0,98200.0,5,39,10.628247520075579,92.15751158173396,7.842488418266049,5.951818611242324
"Desha County, Arkansas",11041.0,36064.0,3164.0,4158.0,178.0,567.0,89100.0,5,41,28.656824562992483,95.89483394833948,4.105166051660516,5.135404401775202
"Drew County, Arkansas",17143.0,41071.0,3720.0,6923.0,355.0,1721.0,127800.0,5,43,21.699819168173597,95.12228634240176,4.877713657598242,10.039083007641603
"Faulkner County, Arkansas",126001.0,65071.0,18099.0,61820.0,2025.0,15950.0,211300.0,5,45,14.364171712922913,96.82825593233613,3.171744067663874,12.658629693415133
"Franklin County, Arkansas",17220.0,51919.0,3197.0,7240.0,319.0,1080.0,118800.0,5,47,18.565621370499418,95.77986506151608,4.220134938483926,6.2717770034843205
"Fulton County, Arkansas",12239.0,38941.0,1782.0,4425.0,170.0,839.0,107200.0,5,49,14.560013072963477,96.30032644178455,3.6996735582154514,6.855135223465969
"Garland County, Arkansas",100062.0,55409.0,16237.0,45246.0,2656.0,12092.0,176400.0,5,51,16.226939297635464,94.45534633209469,5.5446536679053064,12.084507605284724
"Grant County, Arkansas",18111.0,72512.0,2205.0,8413.0,337.0,2010.0,154500.0,5,53,12.174921318535697,96.14857142857143,3.8514285714285714,11.098227596488321
"Greene County, Arkansas",46182.0,56793.0,7657.0,21557.0,1609.0,3244.0,162200.0,5,55,16.58005283443766,93.05447638780973,6.945523612190279,7.024381793772465
"Hempstead County, Arkansas",19778.0,47654.0,3702.0,7886.0,305.0,1200.0,100200.0,5,57,18.717767216098697,96.27640092784763,3.7235990721523624,6.0673475578926075
"Hot Spring County, Arkansas",33142.0,52644.0,5264.0,13632.0,494.0,2407.0,127900.0,5,59,15.883169392311869,96.50290244938411,3.497097550615886,7.262687828133487
"Howard County, Arkansas",12701.0,44492.0,2477.0,5609.0,418.0,984.0,135400.0,5,61,19.50240138571766,93.06454289032686,6.935457109673138,7.747421462876939
"Independence County, Arkansas",38120.0,56009.0,7287.0,17322.0,799.0,2827.0,120500.0,5,63,19.11594963273872,95.5907510623034,4.409248937696595,7.416054564533053
"Izard County, Arkansas",13866.0,47728.0,2692.0,4694.0,330.0,1350.0,122100.0,5,65,19.414394922832827,93.43152866242038,6.568471337579618,9.736045002163566
"Jackson County, Arkansas",16775.0,41215.0,3044.0,6518.0,629.0,1033.0,87300.0,5,67,18.146050670640832,91.19910451937876,8.80089548062124,6.157973174366617
"Jefferson County, Arkansas",65780.0,48552.0,12300.0,27435.0,2051.0,6459.0,106000.0,5,69,18.69869261173609,93.04415654887065,6.95584345112935,9.819093949528732
"Johnson County, Arkansas",25932.0,44808.0,4874.0,10799.0,525.0,2214.0,124800.0,5,71,18.795310812895263,95.36382903567645,4.6361709643235605,8.53771402128644
"Lafayette County, Arkansas",6211.0,37237.0,1658.0,2324.0,205.0,301.0,74600.0,5,73,26.694574142650136,91.8940292605773,8.105970739422697,4.846240540975688
"Lawrence County, Arkansas",16265.0,44164.0,2854.0,7004.0,444.0,1040.0,91100.0,5,75,17.54687980325853,94.03866809881848,5.961331901181525,6.394097755917614
"Lee County, Arkansas",8511.0,36860.0,1926.0,2801.0,495.0,326.0,77900.0,5,77,22.6295382446246,84.98179611650485,15.018203883495145,3.8303372106685467
"Lincoln County, Arkansas",12966.0,51667.0,1512.0,3836.0,90.0,687.0,106100.0,5,79,11.661267931513189,97.70759042282221,2.292409577177789,5.298472929199445
"Little River County, Arkansas",11959.0,52241.0,1927.0,5538.0,501.0,1028.0,113400.0,5,81,16.11338740697383,91.70392449080974,8.296075509190263,8.596036457897819
"Logan County, Arkansas",21240.0,54237.0,3009.0,9644.0,571.0,1635.0,126900.0,5,83,14.166666666666666,94.41018110621636,5.589818893783652,7.69774011299435
"Lonoke County, Arkansas",74747.0,71449.0,8232.0,35326.0,1575.0,7099.0,184100.0,5,85,11.013151029472755,95.73182298582694,4.268177014173058,9.497371131951784
"Madison County, Arkansas",17032.0,53888.0,2529.0,7939.0,342.0,1036.0,157800.0,5,87,14.84852043212776,95.87006400193214,4.129935998067866,6.082667919210897
"Marion County, Arkansas",17076.0,46953.0,3008.0,6442.0,416.0,1180.0,158400.0,5,89,17.615366596392597,93.93409157188685,6.065908428113152,6.910283438744437
"Miller County, Arkansas",42588.0,49983.0,8694.0,17819.0,1284.0,2704.0,148200.0,5,91,20.414201183431953,93.2785426372821,6.7214573627178975,6.349206349206349
"Mississippi County, Arkansas",39749.0,53428.0,8150.0,18690.0,1563.0,2442.0,115800.0,5,93,20.503660469445773,92.28262479632647,7.717375203673529,6.143550781151727
"Monroe County, Arkansas",6681.0,43955.0,1452.0,2698.0,254.0,570.0,82200.0,5,95,21.73327346205658,91.39566395663957,8.604336043360433,8.531656937584193
"Montgomery County, Arkansas",8571.0,49015.0,1762.0,3361.0,234.0,824.0,136000.0,5,97,20.55769455139424,93.49095966620305,6.509040333796941,9.613814024034536
"Nevada County, Arkansas",8228.0,41761.0,2298.0,3331.0,278.0,508.0,85700.0,5,99,27.929022848808945,92.29703518980327,7.70296481019673,6.174039863879436
"Newton County, Arkansas",7175.0,47395.0,945.0,3067.0,121.0,487.0,178800.0,5,101,13.170731707317074,96.20451693851945,3.795483061480552,6.7874564459930316
"Ouachita County, Arkansas",22317.0,49838.0,3913.0,8983.0,412.0,1460.0,99600.0,5,103,17.533718689788053,95.61468866418308,4.385311335816923,6.542097952233723
"Perry County, Arkansas",10073.0,60078.0,1558.0,4118.0,186.0,882.0,129300.0,5,105,15.467090241238957,95.67843866171005,4.321561338289963,8.756080611535788
